"leases","price","likes","year_release","period"
57,2.99,21,2009,343
41,2.99,7,2009,350
33,2.99,17,2009,357
28,2.99,2,2009,364
5,2.99,5,2009,371
42,2.99,14,2009,378
36,2.99,18,2009,384
16,1.99,2,2009,336
12,1.99,4,2009,343
5,1.99,1,2009,350
11,1.99,2,2009,357
184,3.99,22,2012,280
208,3.99,31,2012,287
100,3.99,11,2012,294
116,3.99,17,2012,301
125,3.99,11,2012,308
110,3.99,15,2012,315
158,3.99,29,2012,322
33,3.99,4,2012,329
30,3.99,3,2012,336
47,3.99,3,2012,343
18,3.99,3,2012,350
11,3.99,2,2012,357
1,1.49,1,2003,336
0,1.49,0,2003,343
2,1.49,0,2003,350
0,1.49,0,2003,357
1,2.99,1,1983,336
2,2.99,3,1983,343
1,2.99,1,1983,350
13,2.99,6,1983,357
1,1.99,0,2008,280
4,1.99,1,2008,287
2,1.99,0,2008,294
5,1.99,0,2008,301
5,1.99,0,2003,280
3,1.99,1,2003,287
0,1.99,0,2003,294
1,1.99,0,2003,301
11,3.99,33,2009,224
15,3.99,24,2009,231
21,3.99,25,2009,238
22,3.99,19,2009,245
138,3.99,39,2011,280
149,3.99,54,2011,287
114,3.99,28,2011,294
132,3.99,36,2011,301
78,2.99,24,2008,336
107,2.99,32,2008,343
93,2.99,51,2008,350
96,2.99,44,2008,357
4,1.99,1,2004,308
3,1.99,0,2004,315
3,1.99,0,2004,322
6,1.99,1,2004,329
7,1.99,1,2008,280
8,1.99,0,2008,287
13,1.99,2,2008,294
6,1.99,3,2008,301
10,1.99,0,2008,308
8,1.99,1,2008,315
10,1.99,3,2008,322
4,1.99,1,2008,329
65,1.99,3,2010,252
54,1.99,3,2010,259
63,1.99,2,2010,266
49,1.99,2,2010,273
33,3.99,1,2011,224
76,3.99,23,2011,231
17,3.99,3,2011,238
9,3.99,1,2011,245
17,3.99,3,2011,252
18,3.99,1,2011,259
22,3.99,1,2011,266
22,3.99,1,2011,273
29,2.99,5,2007,252
20,2.99,5,2007,259
26,2.99,6,2007,266
32,2.99,5,2007,273
26,2.99,4,2007,280
46,2.99,5,2007,287
30,2.99,4,2007,294
23,2.99,2,2007,301
51,2.99,13,2010,364
40,2.99,9,2010,371
40,2.99,13,2010,378
51,2.99,19,2010,384
18,3.99,2,2010,308
13,3.99,2,2010,315
9,3.99,2,2010,322
10,3.99,0,2010,329
58,1.99,5,2009,280
33,1.99,1,2009,287
26,1.99,3,2009,294
27,1.99,1,2009,301
5,1.99,0,2009,364
0,1.99,1,2009,371
3,1.99,1,2009,378
4,1.99,0,2009,384
74,1.99,15,2006,308
85,1.99,12,2006,315
80,1.99,21,2006,322
53,1.99,17,2006,329
53,1.99,11,2006,336
42,1.99,18,2006,343
22,1.99,7,2006,350
24,1.99,8,2006,357
11,3.49,1,0,364
11,3.49,3,0,371
8,3.49,4,0,378
6,3.49,2,0,384
3,1.99,0,2006,336
5,1.99,1,2006,343
2,1.99,0,2006,350
1,1.99,1,2006,357
37,3.99,8,2012,336
34,3.99,4,2012,343
18,3.99,2,2012,350
30,3.99,2,2012,371
65,3.99,17,2012,378
114,3.99,34,2012,384
0,3.99,0,2011,364
1,3.99,0,2011,371
3,3.99,0,2011,378
7,3.99,0,2011,384
0,3.99,2,2011,224
0,3.99,1,2011,231
0,3.99,0,2011,238
0,3.99,0,2011,245
80,2.99,53,2010,224
42,2.99,25,2010,231
42,2.99,32,2010,238
7,2.99,7,2010,245
2,2.99,0,2008,308
1,2.99,0,2008,315
4,2.99,0,2008,322
2,2.99,0,2008,329
24,2.99,1,2008,280
5,2.99,0,2008,287
1,2.99,0,2008,294
0,2.99,0,2008,301
100,3.99,26,2011,224
102,3.99,26,2011,231
70,3.99,10,2011,238
83,3.99,24,2011,245
101,3.99,21,2011,252
81,3.99,11,2011,259
118,3.99,27,2011,266
139,3.99,22,2011,273
29,1.99,7,2005,252
20,1.99,0,2005,259
33,1.99,4,2005,266
24,1.99,0,2005,273
1,2.99,0,2009,280
4,2.99,0,2009,287
4,2.99,0,2009,294
6,2.99,0,2009,301
241,3.99,81,2012,252
241,3.99,76,2012,259
261,3.99,69,2012,266
290,3.99,87,2012,273
10,2.99,3,2011,252
10,2.99,2,2011,259
7,2.99,3,2011,266
7,2.99,2,2011,273
2,1.49,0,0,252
0,1.49,0,0,259
0,1.49,0,0,266
0,1.49,0,0,273
26,1.49,16,2004,280
36,1.49,13,2004,287
16,1.49,1,2004,294
4,1.49,1,2004,301
3,1.49,1,2004,308
11,1.49,4,2004,315
7,1.49,1,2004,322
1,1.49,2,2004,329
7,1.49,2,2005,308
7,1.49,0,2005,315
2,1.49,0,2005,322
4,1.49,1,2005,329
9,1.99,2,2001,308
21,1.99,1,2001,315
9,1.99,0,2001,322
12,1.99,1,2001,329
28,1.99,0,2003,252
18,1.99,3,2003,259
27,1.99,2,2003,266
